"weight","group","mod"
4.17,"ctrl","P"
5.58,"ctrl","N"
5.18,"ctrl","P"
6.11,"ctrl","N"
4.5,"ctrl","P"
4.61,"ctrl","N"
5.17,"ctrl","P"
4.53,"ctrl","N"
5.33,"ctrl","P"
5.14,"ctrl","N"
4.81,"trt1","P"
4.17,"trt1","N"
4.41,"trt1","P"
3.59,"trt1","N"
5.87,"trt1","P"
3.83,"trt1","N"
6.03,"trt1","P"
4.89,"trt1","N"
4.32,"trt1","P"
4.69,"trt1","N"
6.31,"trt2","P"
5.12,"trt2","N"
5.54,"trt2","P"
5.5,"trt2","N"
5.37,"trt2","P"
5.29,"trt2","N"
4.92,"trt2","P"
6.15,"trt2","N"
5.8,"trt2","P"
5.26,"trt2","N"
